var,lead,model,spell,n_events,CRPSS,ci_lo,ci_hi,significant_05
Temperature,30,chronos2,active,12,-0.5120141916730632,-0.704606535215495,-0.3421109440754293,True
Temperature,30,chronos2,break,21,0.3785890215676448,0.3188940221367469,0.4261885342644628,True
Temperature,30,chronos_bolt,active,12,-0.989246373689247,-1.2998999034131018,-0.7324152409421818,True
Temperature,30,chronos_bolt,break,21,0.440101346665009,0.3339486297568578,0.5179242875710519,True
Temperature,30,timesfm25,active,12,-0.5927213072043724,-0.7836986384242544,-0.4304978532453503,True
Temperature,30,timesfm25,break,21,0.3847437354916077,0.3119806454639018,0.4390342859135565,True
Temperature,30,tirex,active,12,-0.4392023223703805,-0.6089444279004784,-0.2994242540320859,True
Temperature,30,tirex,break,21,0.3416407427556713,0.2655849981798956,0.3988009772548621,True
Temperature,30,PatchTST,active,12,-0.190618016031588,-0.3541009618534519,-0.040426219748478,True
Temperature,30,PatchTST,break,21,0.1120183961219917,0.0305958071769314,0.1886390143081645,True
Temperature,30,NHITS,active,12,-0.5764699599378975,-0.7942896799306572,-0.3998560022150408,True
Temperature,30,NHITS,break,21,0.2185034256005574,0.1304256556272925,0.302865261348604,True
