track,var,lead,model,CRPSS_vs_clim
bmd,Rainfall,1,AutoARIMA,-0.3274525037936255
bmd,Rainfall,3,AutoARIMA,-0.3368849699309704
bmd,Rainfall,7,AutoARIMA,-0.3065212682496303
bmd,Rainfall,14,AutoARIMA,-0.305536298059992
bmd,Rainfall,30,AutoARIMA,-0.3029672540133168
bmd,Rainfall,1,NHITS,0.0174730965840463
bmd,Rainfall,3,NHITS,-0.0235445120667503
bmd,Rainfall,7,NHITS,-0.0222210119107257
bmd,Rainfall,14,NHITS,-0.0240514567005589
bmd,Rainfall,30,NHITS,-0.0297437292864843
bmd,Rainfall,1,PatchTST,-0.0455538883087442
bmd,Rainfall,3,PatchTST,-0.0651380774198948
bmd,Rainfall,7,PatchTST,-0.0827337738436779
bmd,Rainfall,14,PatchTST,-0.0967734711506671
bmd,Rainfall,30,PatchTST,-0.0701385060398978
bmd,Rainfall,1,chronos2,0.0233106236341311
bmd,Rainfall,3,chronos2,-0.0039270039947258
bmd,Rainfall,7,chronos2,-0.0169724209444879
bmd,Rainfall,14,chronos2,-0.0133956310845351
bmd,Rainfall,30,chronos2,-0.0118523518917323
bmd,Rainfall,1,chronos_bolt,0.011806791631322
bmd,Rainfall,3,chronos_bolt,-0.0078504682004398
bmd,Rainfall,7,chronos_bolt,-0.0269174069034519
bmd,Rainfall,14,chronos_bolt,-0.0218683307645262
bmd,Rainfall,30,chronos_bolt,-0.0101376215108552
bmd,Rainfall,1,moirai2,0.021726800445937
bmd,Rainfall,3,moirai2,-0.0058567337814743
bmd,Rainfall,7,moirai2,-0.0196729948408833
bmd,Rainfall,14,moirai2,-0.0172065657801518
bmd,Rainfall,30,moirai2,-0.0072164098193505
bmd,Rainfall,1,sundial,-0.1259379947434382
bmd,Rainfall,3,sundial,-0.1734455479012502
bmd,Rainfall,7,sundial,-0.1826496169496461
bmd,Rainfall,14,sundial,-0.1736465935239826
bmd,Rainfall,30,sundial,-0.1633004219027465
bmd,Rainfall,1,timesfm25,-0.0085795449733969
bmd,Rainfall,3,timesfm25,-0.0175952820845557
bmd,Rainfall,7,timesfm25,-0.0263950739166136
bmd,Rainfall,14,timesfm25,-0.0256969887196745
bmd,Rainfall,30,timesfm25,-0.0131775016710413
bmd,Rainfall,1,tirex,0.0276480688721932
bmd,Rainfall,3,tirex,-0.0010471514403818
bmd,Rainfall,7,tirex,-0.0143485154341636
bmd,Rainfall,14,tirex,-0.0119827757609232
bmd,Rainfall,30,tirex,-0.0039770178848468
bmd,Rainfall,1,toto2,0.0237751572011716
bmd,Rainfall,3,toto2,-0.0077290264484561
bmd,Rainfall,7,toto2,-0.0160654767913392
