base_model,context,lead,CRPSS_vs_clim
chronos2,96,1,0.266500715870009
chronos2,96,7,-0.06301087337336121
chronos2,96,30,-0.4513331611260804
chronos2,336,1,0.283899027503086
chronos2,336,7,0.01824736550550146
chronos2,336,30,-0.11439337939139796
chronos2,512,1,0.2918215499112581
chronos2,512,7,0.05900766909557325
chronos2,512,30,0.011186455905585868
chronos2,1024,1,0.2955881726027934
chronos2,1024,7,0.08142582278425549
chronos2,1024,30,0.06250156536811474
chronos2,2048,1,0.2982019520342618
chronos2,2048,7,0.0912815221652621
chronos2,2048,30,0.07187563035245507
chronos2,4096,1,0.297816328024004
chronos2,4096,7,0.09204576068847165
chronos2,4096,30,0.0732660215368553
timesfm25,96,1,0.25050090952267523
timesfm25,96,7,-0.07075706735255496
timesfm25,96,30,-0.4947134599903382
timesfm25,336,1,0.2744599746121043
timesfm25,336,7,0.018450035866853752
timesfm25,336,30,-0.11055658950639939
timesfm25,512,1,0.283329511819168
timesfm25,512,7,0.048279588414885874
timesfm25,512,30,-0.02091198528898119
timesfm25,1024,1,0.2901076902216575
timesfm25,1024,7,0.07254275545647065
timesfm25,1024,30,0.047918963208109594
timesfm25,2048,1,0.2923186100840825
timesfm25,2048,7,0.08281053512452305
timesfm25,2048,30,0.06596909450300328
tirex,96,1,0.2754354213128956
tirex,96,7,-0.060808521624485815
tirex,96,30,-0.4285520622800226
tirex,336,1,0.2920632842760731
tirex,336,7,0.014223418599440076
tirex,336,30,-0.13212817112335049
tirex,512,1,0.2991270716036831
tirex,512,7,0.04684963042362262
tirex,512,30,-0.02873509226575579
tirex,1024,1,0.3039423907048266
tirex,1024,7,0.07285421814885158
tirex,1024,30,0.04524760293307956
tirex,2048,1,0.30617264195354493
tirex,2048,7,0.08263251819326427
tirex,2048,30,0.057744558184426156
