month,rain_mm_median,rain_mm_p25,rain_mm_p75,temp_c_median,temp_c_p25,temp_c_p75
1,7.0,6.22,9.23,18.31,17.63,18.85
2,21.18,16.85,25.26,21.52,20.68,22.12
3,45.35,33.38,53.23,25.77,25.05,26.15
4,104.88,71.61,131.87,28.16,27.82,28.8
5,275.09,210.51,319.41,28.71,28.23,29.17
6,440.15,349.13,557.31,28.63,28.22,29.0
7,454.21,369.26,699.14,28.41,27.87,28.62
8,346.3,295.43,511.56,28.54,28.11,28.82
9,304.37,276.7,372.35,28.28,28.05,28.43
10,188.29,167.3,229.92,27.18,26.76,27.5
11,40.89,27.16,51.26,23.83,23.06,24.35
12,8.65,6.48,10.67,19.66,18.71,20.31
