index,lead_months,index_month,r,n_years,abs_r_sig95
ONI,0,Aug,0.107,50,0.286
ONI,1,Jul,0.08,50,0.286
ONI,2,Jun,0.036,50,0.286
ONI,3,May,0.004,50,0.286
ONI,4,Apr,0.001,50,0.286
ONI,5,Mar,0.016,50,0.286
ONI,6,Feb,0.025,50,0.286
ONI,7,Jan,0.026,50,0.286
ONI,8,Dec,0.027,50,0.286
ONI,9,Nov,0.047,50,0.286
ONI,10,Oct,0.064,50,0.286
ONI,11,Sep,0.085,50,0.286
ONI,12,Aug,0.107,50,0.286
DMI,0,Aug,0.064,50,0.286
DMI,1,Jul,0.014,50,0.286
DMI,2,Jun,0.004,50,0.286
DMI,3,May,-0.041,50,0.286
DMI,4,Apr,-0.081,50,0.286
DMI,5,Mar,0.042,50,0.286
DMI,6,Feb,0.158,50,0.286
DMI,7,Jan,0.04,50,0.286
DMI,8,Dec,-0.117,50,0.286
DMI,9,Nov,-0.062,50,0.286
DMI,10,Oct,-0.033,50,0.286
DMI,11,Sep,-0.044,50,0.286
DMI,12,Aug,0.064,50,0.286
