lead,monsoon_phase,MASE,sCRPS,n,var,model
1,dry,0.08872994899634366,0.23517478536149322,4091,Rainfall,AutoARIMA
1,onset,1.6700166987979206,1.326922569960724,590,Rainfall,AutoARIMA
1,peak,1.4138012835792466,1.0917875885122068,4875,Rainfall,AutoARIMA
1,pre_monsoon,0.6296208710930319,0.5547547864508544,3668,Rainfall,AutoARIMA
1,withdrawal,0.5157987214977092,0.5138374500185688,1188,Rainfall,AutoARIMA
7,dry,0.12094383070760506,0.2595085486511988,4092,Rainfall,AutoARIMA
7,onset,1.437071198764698,1.01244173044173,627,Rainfall,AutoARIMA
7,peak,1.502516297164763,1.151474959060208,4841,Rainfall,AutoARIMA
7,pre_monsoon,0.7274689681744811,0.637384411605761,3668,Rainfall,AutoARIMA
7,withdrawal,0.40198466688193535,0.38697943927172623,1184,Rainfall,AutoARIMA
30,dry,0.1718901289975743,0.30688710185511947,4128,Rainfall,AutoARIMA
30,onset,1.5343312791979948,1.124892359214587,595,Rainfall,AutoARIMA
30,peak,1.4079622978203563,1.0563110447870998,4885,Rainfall,AutoARIMA
30,pre_monsoon,0.7213777119865565,0.6190822338672973,3630,Rainfall,AutoARIMA
30,withdrawal,0.8934082329906389,0.8325580045393296,1174,Rainfall,AutoARIMA
1,dry,0.09256968025185451,0.24581928579406503,4091,Rainfall,AutoETS
1,onset,1.7788996167036657,1.3947622359049612,590,Rainfall,AutoETS
1,peak,1.45821819696395,1.1258080755031574,4875,Rainfall,AutoETS
1,pre_monsoon,0.6170548936001322,0.5466370098457097,3668,Rainfall,AutoETS
1,withdrawal,0.563784172131095,0.5421540180223815,1188,Rainfall,AutoETS
7,dry,0.11968188742430433,0.2757561689160459,4092,Rainfall,AutoETS
7,onset,1.4824234550445443,1.05760989851317,627,Rainfall,AutoETS
7,peak,1.587355274590301,1.2260576162689742,4841,Rainfall,AutoETS
7,pre_monsoon,0.736668970341367,0.6558988297210182,3668,Rainfall,AutoETS
7,withdrawal,0.437306923452856,0.42194004865798285,1184,Rainfall,AutoETS
30,dry,0.1863082903197233,0.35824021918306265,4128,Rainfall,AutoETS
30,onset,1.4952922345206623,1.1283172867637565,595,Rainfall,AutoETS
30,peak,1.4550616106867493,1.1177787505984647,4885,Rainfall,AutoETS
30,pre_monsoon,0.7362096906902492,0.6672893976935728,3630,Rainfall,AutoETS
30,withdrawal,0.9380225110780684,0.8759661153446975,1174,Rainfall,AutoETS
1,dry,0.08222344877424174,0.29297268911657454,4091,Rainfall,AutoTheta
1,onset,1.73803871108507,1.388840991567621,590,Rainfall,AutoTheta
1,peak,1.4357680237414179,1.139201726805826,4875,Rainfall,AutoTheta
1,pre_monsoon,0.6090660144825627,0.5856054109095437,3668,Rainfall,AutoTheta
1,withdrawal,0.6329472544430582,0.6238221328532072,1188,Rainfall,AutoTheta
7,dry,0.11520140046399283,0.2825756477870316,4092,Rainfall,AutoTheta
7,onset,1.47054350889551,1.0572023656976954,627,Rainfall,AutoTheta
7,peak,1.6041725932850146,1.2461087529911563,4841,Rainfall,AutoTheta
7,pre_monsoon,0.7449046562314099,0.6692269172938091,3668,Rainfall,AutoTheta
7,withdrawal,0.5094400346120956,0.4668764413390822,1184,Rainfall,AutoTheta
30,dry,0.2163162724462859,0.3582942232407049,4128,Rainfall,AutoTheta
30,onset,1.480268136972989,1.0939849351836852,595,Rainfall,AutoTheta
30,peak,1.4632745170820936,1.101246826635406,4885,Rainfall,AutoTheta
30,pre_monsoon,0.7402758564649661,0.6561090797750138,3630,Rainfall,AutoTheta
30,withdrawal,0.9487705767973755,0.8608950274677277,1174,Rainfall,AutoTheta
1,dry,0.04330652499553296,0.053144967955622464,4091,Rainfall,DLinear
1,onset,1.6096507420766775,1.5155058299614976,590,Rainfall,DLinear
1,peak,1.3508319310089378,1.24803206981869,4875,Rainfall,DLinear
1,pre_monsoon,0.5618986672926405,0.5141439663621442,3668,Rainfall,DLinear
