lead,spell,sCRPS,n,var,model,clim,CRPSS
1,active,2.4863492510040017,381,Rainfall,climatology,2.4863492510040017,0.0
1,break,0.6133316426444865,726,Rainfall,climatology,0.6133316426444865,0.0
1,normal,0.930190289186935,1315,Rainfall,climatology,0.930190289186935,0.0
7,active,2.6236137705050115,378,Rainfall,climatology,2.6236137705050115,0.0
7,break,0.552899989484838,653,Rainfall,climatology,0.552899989484838,0.0
7,normal,1.0102312345178865,1389,Rainfall,climatology,1.0102312345178865,0.0
30,active,2.2300407301094074,414,Rainfall,climatology,2.2300407301094074,0.0
30,break,0.5875379863969551,862,Rainfall,climatology,0.5875379863969551,0.0
30,normal,0.8347838822632254,1171,Rainfall,climatology,0.8347838822632254,0.0
1,active,2.234866101262908,381,Rainfall,NHITS,2.4863492510040017,0.10114554487449556
1,break,0.5780257560529658,726,Rainfall,NHITS,0.6133316426444865,0.057564104208439604
1,normal,0.9400324577891425,1315,Rainfall,NHITS,0.930190289186935,-0.010580812030203335
7,active,2.5497712969558846,378,Rainfall,NHITS,2.6236137705050115,0.028145329308480238
7,break,0.5844712631108514,653,Rainfall,NHITS,0.552899989484838,-0.057101237522955595
7,normal,1.025681741197398,1389,Rainfall,NHITS,1.0102312345178865,-0.015294029873155646
30,active,2.2231869639695008,414,Rainfall,NHITS,2.2300407301094074,0.0030733815967434186
30,break,0.5966414765281061,862,Rainfall,NHITS,0.5875379863969551,-0.015494300525107585
30,normal,0.8428122475390282,1171,Rainfall,NHITS,0.8347838822632254,-0.009617297897554833
1,active,2.251180126483484,381,Rainfall,PatchTST,2.4863492510040017,0.09458410737170386
1,break,0.6383308873308248,726,Rainfall,PatchTST,0.6133316426444865,-0.04075975043216373
1,normal,0.9735411146216284,1315,Rainfall,PatchTST,0.930190289186935,-0.04660425499881926
7,active,2.7072241503551355,378,Rainfall,PatchTST,2.6236137705050115,-0.03186840257894752
7,break,0.6139081998032531,653,Rainfall,PatchTST,0.552899989484838,-0.1103422164562875
7,normal,1.0557205249058212,1389,Rainfall,PatchTST,1.0102312345178865,-0.045028592300102144
30,active,2.2465127763619055,414,Rainfall,PatchTST,2.2300407301094074,-0.00738643291581953
30,break,0.6330714207341714,862,Rainfall,PatchTST,0.5875379863969551,-0.07749870713287432
30,normal,0.8716229380553193,1171,Rainfall,PatchTST,0.8347838822632254,-0.0441300515915779
1,active,2.177647101344711,381,Rainfall,chronos2,2.4863492510040017,0.12415880413205627
1,break,0.5847123168747149,726,Rainfall,chronos2,0.6133316426444865,0.04666207281655044
1,normal,0.9682053074548085,1315,Rainfall,chronos2,0.930190289186935,-0.040868001644160046
7,active,2.6181167497772235,378,Rainfall,chronos2,2.6236137705050115,0.0020952095882351696
7,break,0.575666485958783,653,Rainfall,chronos2,0.552899989484838,-0.041176518189406375
7,normal,1.0205297266561073,1389,Rainfall,chronos2,1.0102312345178865,-0.010194192959333215
30,active,2.209641707083886,414,Rainfall,chronos2,2.2300407301094074,0.009147376884242164
30,break,0.5970583530742053,862,Rainfall,chronos2,0.5875379863969551,-0.016203831748196063
30,normal,0.8693424371738836,1171,Rainfall,chronos2,0.8347838822632254,-0.041398205745138084
1,active,2.4092372023063167,381,Rainfall,chronos_bolt,2.4863492510040017,0.03101416611787211
1,break,0.5054857279007812,726,Rainfall,chronos_bolt,0.6133316426444865,0.17583621526309778
1,normal,0.9428617264127831,1315,Rainfall,chronos_bolt,0.930190289186935,-0.013622414008346517
7,active,2.7950401431286376,378,Rainfall,chronos_bolt,2.6236137705050115,-0.06533978993052347
7,break,0.48120761621446384,653,Rainfall,chronos_bolt,0.552899989484838,0.12966607819467169
7,normal,1.0335405381067195,1389,Rainfall,chronos_bolt,1.0102312345178865,-0.023073235901240885
30,active,2.3607388317257794,414,Rainfall,chronos_bolt,2.2300407301094074,-0.05860794372574518
30,break,0.518019427155149,862,Rainfall,chronos_bolt,0.5875379863969551,0.11832181212337411
30,normal,0.851911453009921,1171,Rainfall,chronos_bolt,0.8347838822632254,-0.020517371155106767
1,active,2.419015437383047,381,Rainfall,timesfm25,2.4863492510040017,0.027081397994977996
1,break,0.5235224371246904,726,Rainfall,timesfm25,0.6133316426444865,0.14642845611644628
1,normal,0.9853701217869787,1315,Rainfall,timesfm25,0.930190289186935,-0.05932101554003055
7,active,2.813853868953703,378,Rainfall,timesfm25,2.6236137705050115,-0.072510710451132
7,break,0.4799963547773187,653,Rainfall,timesfm25,0.552899989484838,0.13185682057155923
7,normal,1.0290218141039105,1389,Rainfall,timesfm25,1.0102312345178865,-0.018600275802194366
30,active,2.350361377712865,414,Rainfall,timesfm25,2.2300407301094074,-0.053954461897901984
30,break,0.5063414481991299,862,Rainfall,timesfm25,0.5875379863969551,0.13819793796782165
30,normal,0.8432332163818231,1171,Rainfall,timesfm25,0.8347838822632254,-0.010121582721135391
1,active,2.20884684256934,381,Rainfall,toto2,2.4863492510040017,0.1116103895390419
1,break,0.5572260882799553,726,Rainfall,toto2,0.6133316426444865,0.0914766994942936
1,normal,0.9756087125478288,1315,Rainfall,toto2,0.930190289186935,-0.04882702377015069
7,active,2.7009355194048905,378,Rainfall,toto2,2.6236137705050115,-0.029471467854430333
7,break,0.525512799396608,653,Rainfall,toto2,0.552899989484838,0.04953371425047026
7,normal,1.0228302590204303,1389,Rainfall,toto2,1.0102312345178865,-0.01247142641412835
30,active,2.277198331825513,414,Rainfall,toto2,2.2300407301094074,-0.021146520365927124
30,break,0.55627057779875,862,Rainfall,toto2,0.5875379863969551,0.05321768008559036
30,normal,0.8524557238914163,1171,Rainfall,toto2,0.8347838822632254,-0.02116936132053704
1,active,2.203289428363883,381,Rainfall,tirex,2.4863492510040017,0.11384555992116463
1,break,0.5507382705112841,726,Rainfall,tirex,0.6133316426444865,0.10205469240641185
1,normal,0.964934689775742,1315,Rainfall,tirex,0.930190289186935,-0.03735192787185149
7,active,2.700160608020324,378,Rainfall,tirex,2.6236137705050115,-0.029176107541385
7,break,0.5346815313228201,653,Rainfall,tirex,0.552899989484838,0.032950729803762124
7,normal,1.0243986642306206,1389,Rainfall,tirex,1.0102312345178865,-0.014023947417835636
30,active,2.2708397561986957,414,Rainfall,tirex,2.2300407301094074,-0.01829519323949147
30,break,0.547098643301507,862,Rainfall,tirex,0.5875379863969551,0.06882847412716264
30,normal,0.8581925441184903,1171,Rainfall,tirex,0.8347838822632254,-0.028041583399766257
1,active,2.2589643311506227,381,Rainfall,moirai2,2.4863492510040017,0.09145333052529114
1,break,0.5578918238292381,726,Rainfall,moirai2,0.6133316426444865,0.09039125810664184
1,normal,0.9427312112630142,1315,Rainfall,moirai2,0.930190289186935,-0.013482103846774063
7,active,2.727428981755071,378,Rainfall,moirai2,2.6236137705050115,-0.03956954808560731
