lead,MASE,sCRPS,coverage80,n_windows,model,base_model,context,CRPSS_vs_clim
1,0.7460526240793086,0.5823143846697673,0.7104681978798587,18112,chronos2,chronos2,144,-0.0630844412929008
2,0.7611419070230486,0.595572291975333,0.7043396643109541,18112,chronos2,chronos2,144,-0.08343319044272013
3,0.7604094279873319,0.5934775767828268,0.7124558303886925,18112,chronos2,chronos2,144,-0.07963749772409301
6,0.7650424175947164,0.5980937685304683,0.7391232332155477,18112,chronos2,chronos2,144,-0.08647503300782877
1,0.6997269917754905,0.5482951011232523,0.716155035335689,18112,chronos2_ctx1024,chronos2,1024,-0.0009781770577468318
2,0.7070688965802608,0.5541050938760429,0.7087014134275619,18112,chronos2_ctx1024,chronos2,1024,-0.007998286333220417
3,0.7098422020081991,0.5544618311372917,0.6951192579505301,18112,chronos2_ctx1024,chronos2,1024,-0.008661164921549336
6,0.7125020461142703,0.556747108442629,0.6924690812720848,18112,chronos2_ctx1024,chronos2,1024,-0.011366218558760854
1,0.8679030078368076,0.6932340930778197,0.7146643109540636,18112,chronos2_ctx36,chronos2,36,-0.26558161351751797
2,0.9758752233542405,0.7804800581575239,0.7390680212014135,18112,chronos2_ctx36,chronos2,36,-0.41980748748725905
3,1.078817206483337,0.8593398472027398,0.7357553003533569,18112,chronos2_ctx36,chronos2,36,-0.5632865648571495
6,1.39282537288571,1.1004080542386303,0.6946223498233216,18112,chronos2_ctx36,chronos2,36,-0.9989605977479628
1,0.8555335470273562,0.672770237325804,0.6634275618374559,18112,chronos2_ctx72,chronos2,72,-0.2282224013263794
2,0.9277402610255219,0.7282624703661532,0.6688383392226148,18112,chronos2_ctx72,chronos2,72,-0.3248160506788276
3,0.9586149018982651,0.7508561659975187,0.6822548586572438,18112,chronos2_ctx72,chronos2,72,-0.36593614303462063
6,1.054735509400888,0.8196751389577627,0.7098056537102474,18112,chronos2_ctx72,chronos2,72,-0.48899156037514335
1,0.8722767412787852,0.6901906383914438,0.7571775618374559,18112,chronos_bolt,chronos_bolt,144,-0.26002542357949854
2,0.9745247357446389,0.7676748877817341,0.7752871024734982,18112,chronos_bolt,chronos_bolt,144,-0.39651300790629973
3,1.057859968739498,0.8341931093909415,0.7763361307420494,18112,chronos_bolt,chronos_bolt,144,-0.5175403359360378
6,1.3182232843780384,1.0261210509876255,0.7188604240282686,18112,chronos_bolt,chronos_bolt,144,-0.8640135734586158
1,0.7592807389859202,0.6050235571221214,0.8374006183745583,18112,chronos_bolt_ctx1024,chronos_bolt,1024,-0.10454274722574475
2,0.7819682849848257,0.6233763745610154,0.870196554770318,18112,chronos_bolt_ctx1024,chronos_bolt,1024,-0.13401288716304083
3,0.7858784132688129,0.6274553194579965,0.8873674911660777,18112,chronos_bolt_ctx1024,chronos_bolt,1024,-0.1414488390707891
6,0.836853774076077,0.6686359477472038,0.8923917844522968,18112,chronos_bolt_ctx1024,chronos_bolt,1024,-0.2146193483737271
1,0.8776821229538736,0.7017461525154592,0.7996356007067138,18112,chronos_bolt_ctx36,chronos_bolt,36,-0.2811213944155062
2,1.0037084013731472,0.7939971960784515,0.7890348939929329,18112,chronos_bolt_ctx36,chronos_bolt,36,-0.44439714026434207
3,1.1107057199432044,0.8760264773013678,0.780642667844523,18112,chronos_bolt_ctx36,chronos_bolt,36,-0.5936424068803481
6,1.4181220104371284,1.115911697376056,0.7058856007067138,18112,chronos_bolt_ctx36,chronos_bolt,36,-1.0271239428215342
1,0.9204527250999761,0.7366618205891446,0.7491718197879859,18112,chronos_bolt_ctx72,chronos_bolt,72,-0.3448641156390806
2,1.0681194918949104,0.8569841955842497,0.7222835689045937,18112,chronos_bolt_ctx72,chronos_bolt,72,-0.5589797136151642
3,1.225999956893915,0.98373049092164,0.6813714664310954,18112,chronos_bolt_ctx72,chronos_bolt,72,-0.7895744796474098
6,1.6890564298798445,1.3819939054674915,0.5564266784452296,18112,chronos_bolt_ctx72,chronos_bolt,72,-1.5104790470374563
1,0.7041229767337895,0.5477592955471805,0.760821554770318,18112,climatology,climatology,,0.0
2,0.7063844010314435,0.5497083689414813,0.7589995583038869,18112,climatology,climatology,,0.0
3,0.7063643175697374,0.549700782006826,0.7598829505300353,18112,climatology,climatology,,0.0
6,0.7072150978213325,0.5504901174532177,0.7515459363957597,18112,climatology,climatology,,0.0
1,0.8320380186181927,0.65537697693597,0.8341983215547704,18112,moirai2,moirai2,144,-0.19646892761771473
2,0.9070152469995469,0.7089241862526446,0.8391674028268551,18112,moirai2,moirai2,144,-0.2896368807659766
3,0.9425167294775022,0.7401918792005613,0.7917954946996466,18112,moirai2,moirai2,144,-0.3465359763511666
