var,lead,model,control,DiD,ci_lo,ci_hi,significant_05,DiD_gapmatched,gm_ci_lo,gm_ci_hi,gm_significant_05,control_gapmatched,DiD_gm_control,gmc_ci_lo,gmc_ci_hi,gmc_significant_05
Rainfall,1,chronos2,NHITS,-0.028924595940785003,-0.05084394783776332,-0.007508320247736328,True,-0.033041086654285734,-0.055227599612298034,-0.012791285792844522,True,True,-0.027569214158606803,-0.04906989757896358,-0.006161070881814229,True
Rainfall,1,chronos_bolt,NHITS,0.004368793331376297,-0.02360467845885127,0.025865417676917035,False,0.0016829087169669688,-0.0272280610865243,0.024039437357522446,False,True,0.0071547812126459,-0.019822488655447064,0.030611768003408164,False
Rainfall,1,timesfm25,NHITS,-0.004850272010062939,-0.035185996975247734,0.03148809196873768,False,-0.02333350725296668,-0.05693454492393818,0.014544354264146646,False,True,-0.017861634757287748,-0.04835668768825056,0.021710479884903763,False
Rainfall,1,toto2,NHITS,-0.036322931314818674,-0.07847933140914681,0.00023608122621421846,False,-0.04364527356928116,-0.08785889144045833,-0.0073197128920529046,True,True,-0.03817340107360223,-0.07768174008625883,-0.001285076195817796,True
Rainfall,1,tirex,NHITS,-0.027674530510123363,-0.06938827653412848,0.015221529438838885,False,-0.05786830456640457,-0.09919987010673476,-0.010740360714695094,True,True,-0.05239643207072564,-0.09231294076534935,-0.004240275863575461,True
Rainfall,1,moirai2,NHITS,-0.0020832259951700793,-0.03274634579922128,0.03772136594497094,False,-0.011187175438557628,-0.04294501896403571,0.03234953682461015,False,True,-0.005715302942878697,-0.037199630091637445,0.038115265322802405,False
Rainfall,1,ttm_r2,NHITS,-0.12596222278665226,-0.26515509757798544,0.06900726499872216,False,-0.0911195586644763,-0.23286435284557438,0.1210139922616978,False,True,-0.08564768616879737,-0.21984198899601154,0.11538359608174076,False
Rainfall,1,sundial,NHITS,-0.08318023130295671,-0.14073226377581466,-0.0005743222409375228,True,-0.09206399021457734,-0.14406416745429554,-0.005496947939796334,True,True,-0.08659211771889841,-0.1397172203279454,-0.0025546040951310535,True
Rainfall,7,chronos2,NHITS,0.01064457458676149,-0.014739660042637697,0.0401785683393164,False,0.006508425729117806,-0.02079853239197398,0.03562276003767245,False,True,0.012663109125399363,-0.013267981479530311,0.04253888010671197,False
Rainfall,7,chronos_bolt,NHITS,0.020514665229223517,-0.009563200492690343,0.057144120594495924,False,0.015223704610140332,-0.01710765796472518,0.0508653887490125,False,True,0.02137838800642189,-0.010582272234094855,0.0582099587219432,False
Rainfall,7,timesfm25,NHITS,0.024100829260425782,-0.008906487246728139,0.06789883470806377,False,0.015749632902868238,-0.02067695920711814,0.05862093063113114,False,True,0.021904316299149795,-0.013292663190347305,0.06489891044346227,False
Rainfall,7,toto2,NHITS,0.02766042413448544,0.007135216981783893,0.05371500747230593,True,0.021373023064898633,-0.0015858452418914479,0.04734232826834213,False,True,0.02752770646118019,0.005463970795508644,0.053450031921064095,True
Rainfall,7,tirex,NHITS,0.0382714284328568,0.00900761286994011,0.07904398133235893,True,0.018195153372361994,-0.011447158303610153,0.06073442607484083,False,True,0.02434983676864355,-0.005283115283391549,0.06730560336238782,False
Rainfall,7,moirai2,NHITS,0.03197761826285672,-0.0026903996125782646,0.07367936723299262,False,0.021847773420553218,-0.012041294436596786,0.06303869563514684,False,True,0.028002456816834775,-0.0054466222085205376,0.07077047903647622,False
Rainfall,7,ttm_r2,NHITS,-0.07773959692651389,-0.1878520973017835,0.11427137902706594,False,-0.03163996334526742,-0.13894090703525233,0.17750358882363182,False,True,-0.02548527994898586,-0.12810465444148156,0.17816262019234258,False
Rainfall,7,sundial,NHITS,-0.021830928542731942,-0.07469533243803357,0.05547364566377021,False,-0.028117679815065855,-0.07785937064846707,0.054306037771631795,False,True,-0.021962996418784297,-0.07293759481674449,0.05969501525383624,False
Rainfall,30,chronos2,NHITS,-0.022328355860947058,-0.05005736088925979,-0.0043759640618619994,True,-0.023808866346979762,-0.051423333087983344,-0.005487734106806951,True,True,-0.015919674374543114,-0.044240917161875296,0.001471464917584332,False
Rainfall,30,chronos_bolt,NHITS,-0.01695575337059152,-0.039759269352599505,0.0013842477318576608,False,-0.020266334034251265,-0.04393351554469391,-0.0004012956999387588,True,True,-0.012377142061814617,-0.03559234081319856,0.005042762047347052,False
Rainfall,30,timesfm25,NHITS,0.009375151961100725,-0.022454743865549666,0.03800257474583059,False,0.0018445605256882658,-0.03262157857959612,0.03211064744828509,False,True,0.009733752498124915,-0.0215975915473389,0.037849798198819805,False
Rainfall,30,toto2,NHITS,-0.005612405571006618,-0.0394177340382596,0.019285346159818178,False,-0.014686267596657365,-0.04957009906288748,0.012268542139826717,False,True,-0.006797075624220716,-0.0397353225987096,0.018242033965653395,False
Rainfall,30,tirex,NHITS,0.013301357596813501,-0.022553691892259472,0.05343006204297086,False,-0.00992605525149437,-0.04488228854185794,0.032796599995780065,False,True,-0.0020368632790577212,-0.03680962014889929,0.03822780422881222,False
Rainfall,30,moirai2,NHITS,0.009187160544089412,-0.0213882124434267,0.04115469631775497,False,8.792861623119208e-05,-0.031986995117902046,0.033138633674830636,False,True,0.007977120588667841,-0.02325950902881511,0.038353748407036745,False
Rainfall,30,ttm_r2,NHITS,-0.1117270669635404,-0.2571509407665072,0.11294993468323263,False,-0.05034354827115228,-0.1933546157979043,0.18217786486858642,False,True,-0.042454356298715634,-0.1825207710688618,0.17316385244185833,False
Rainfall,30,sundial,NHITS,-0.03880278868187115,-0.09193439915517905,0.017617039953792865,False,-0.04720155446465335,-0.09825181393038887,0.013418946843549844,False,True,-0.0393123624922167,-0.09191199480832102,0.017536105294961694,False
Tavg,1,chronos2,AutoARIMA,0.00027425315524476357,-0.014968138535180153,0.01440964872647394,False,-0.008257532384946753,-0.02354748384786188,0.006082919895496204,False,True,0.002363272786917836,-0.012809329342977677,0.015884952781204352,False
Tavg,1,chronos_bolt,AutoARIMA,0.004722398917933579,-0.009054195890436878,0.016259355334337377,False,-0.00767429529513064,-0.02230446158538714,0.0037703248602982543,False,True,0.0029465098767339493,-0.011464862095041106,0.01450924598580528,False
Tavg,1,timesfm25,AutoARIMA,-0.004983587255042776,-0.0172416257497737,0.007230272502872974,False,-0.015136954033178274,-0.028122790203988324,-0.003496556306974707,True,True,-0.004516148861313685,-0.017050249495374446,0.007150202090195927,False
Tavg,1,toto2,AutoARIMA,0.062481546337693095,0.008211428630189524,0.14543914374878517,True,0.0244076662152245,-0.030203093081015982,0.10802271321562776,False,True,0.03502847138708909,-0.019139050457859998,0.11881300966745013,False
Tavg,1,tirex,AutoARIMA,-0.0011659308504156085,-0.012791230012021801,0.010264960527902833,False,-0.014250627308394326,-0.026391838382486234,-0.0020636475342077163,True,True,-0.0036298221365297367,-0.015404267414580045,0.008406507945107698,False
