track,var,lead,best_fm,best_baseline,n_origins,n_stations,mean_sCRPS_diff,DM_stat,DM_p,wilcoxon_p,DM_p_holm,fm_better,significant_05
bmd,Humidity,1,timesfm25,AutoARIMA,414,35,-0.003292752411863591,-1.945841972307259,0.05235171034580516,0.0007825086358934641,0.9423307862244928,True,False
bmd,Humidity,7,chronos2,PatchTST,414,35,-0.004464306126313036,-1.0501079237327893,0.29428257135515207,0.0025107008405029774,1.0,True,False
bmd,Humidity,30,chronos2,PatchTST,414,35,-0.0032785885924489426,-0.6305335044935637,0.5286943238799502,0.0902152419439517,1.0,True,False
bmd,Rainfall,1,tirex,NHITS,414,35,-0.0051313364551841285,-2.0904085227164706,0.03719201919770832,0.00044349912786856294,0.7438403839541664,True,False
bmd,Rainfall,7,tirex,climatology,414,35,0.007715304119514029,3.2471194814651825,0.0012609231387380022,2.9103830456733704e-10,0.039088617300878065,False,True
bmd,Rainfall,30,tirex,climatology,414,35,0.002198830661710587,1.0999237180280348,0.272006071532658,0.014366292743943632,1.0,False,False
bmd,Sunshine,1,chronos2,NHITS,414,35,-0.010536675512775467,-2.642266013810677,0.008548274047325458,1.0122312232851982e-07,0.21108924653691075,True,False
bmd,Sunshine,7,chronos2,PatchTST,414,35,-0.0028256003510828557,-0.5143348275263822,0.6072930214942804,0.1954178527230397,1.0,True,False
bmd,Sunshine,30,chronos2,lightgbm,414,35,-0.008442429741029977,-1.6136764006134836,0.1073613934050408,0.02003317285561934,1.0,True,False
bmd,Temperature,1,tirex,AutoARIMA,414,35,-0.008602542956029753,-3.491126232230874,0.0005328374699530435,1.1641532182693481e-10,0.017583636508450434,True,True
bmd,Temperature,7,timesfm25,PatchTST,414,35,0.005013689324007118,1.043959493694756,0.2971147923729637,0.00020785926608368754,1.0,False,False
bmd,Temperature,30,chronos2,AutoARIMA,414,35,-0.0064700573231300474,-0.6356991113340852,0.52532463887424,0.07534410152584314,1.0,True,False
ghcn_bangladesh,Rainfall,1,toto2,NHITS,185,10,-0.05259352252163587,-2.0071974407792856,0.04619219076808196,0.013671875,0.8776516245935573,True,False
ghcn_bangladesh,Rainfall,7,chronos2,NHITS,185,10,-0.0014094747784618566,-0.08138052444358769,0.9352277900451466,0.232421875,1.0,True,False
ghcn_bangladesh,Rainfall,30,chronos2,climatology,185,10,-0.031003458952671595,-1.4306528516480443,0.15422579015915308,0.130859375,1.0,True,False
ghcn_bangladesh,Tavg,1,tirex,AutoARIMA,379,10,-0.0056391540455812275,-1.4073634249889848,0.16014139573897668,0.064453125,1.0,True,False
ghcn_bangladesh,Tavg,7,chronos2,PatchTST,379,10,-0.0007771038748422467,-0.096016761044854,0.923558143816912,0.16015625,1.0,True,False
ghcn_bangladesh,Tavg,30,chronos2,AutoARIMA,379,10,0.015136672084576606,1.5197544779318906,0.12940866799099718,0.375,1.0,False,False
ghcn_temperate,Rainfall,1,tirex,NHITS,414,32,-0.007580957185218992,-4.313444453817796,2.0130129858109805e-05,0.00036499183624982834,0.000825335324182502,True,True
ghcn_temperate,Rainfall,7,tirex,climatology,414,32,0.0053360674313536775,3.6657273749706363,0.0002788125879178805,2.54092738032341e-05,0.009479627989207937,False,True
ghcn_temperate,Rainfall,30,tirex,climatology,414,32,0.004474002600632488,3.783923814708096,0.00017721146801668038,2.54092738032341e-05,0.0063796128486004935,False,True
ghcn_temperate,Tavg,1,tirex,AutoARIMA,409,32,-0.003924173588340944,-4.772967075401494,2.5335350579670147e-06,0.00014727748930454254,0.00010894200749258163,True,True
ghcn_temperate,Tavg,7,chronos2,PatchTST,409,32,-0.008025369536245369,-2.753694733517409,0.006156063459106495,1.2635253369808197e-05,0.16621371339587537,True,False
ghcn_temperate,Tavg,30,chronos2,PatchTST,409,32,-0.005330745058996917,-1.5997046337797451,0.11043815778864649,0.09838791796937585,1.0,True,False
nasa_power_bmd,ALLSKY_SFC_SW_DWN,1,toto2,AutoARIMA,414,35,-0.03390697172009947,-7.44141350667623,5.834652725677386e-13,2.413643530532856e-07,2.800633308325145e-11,True,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,7,moirai2,PatchTST,414,35,-0.0044928407613671695,-0.8591812408612495,0.3907389353736788,1.7440176829687983e-05,1.0,True,False
nasa_power_bmd,ALLSKY_SFC_SW_DWN,30,moirai2,PatchTST,414,35,-0.01275451801960298,-2.11086443619243,0.0353844429858002,3.1357848240172727e-07,0.7430733027018042,True,False
nasa_power_bmd,PRECTOTCORR,1,toto2,NHITS,414,35,-0.07886878186406103,-4.071403531442538,5.6018438119324e-05,2.4667457161813376e-07,0.00224073752477296,True,True
