track,var,lead,model,CRPSS,ci_lo,ci_hi,beats_climatology_95
bmd,Humidity,1,chronos2,0.2936203932415513,0.26146296863856305,0.3183099577724313,True
bmd,Humidity,7,chronos2,0.06378593438177038,0.0397382758183812,0.08515778502283551,True
bmd,Humidity,30,chronos2,0.053788369120222446,0.027952169859426487,0.07653038104369621,True
bmd,Humidity,1,tirex,0.2963017561090182,0.26222888143562806,0.32277177111706173,True
bmd,Humidity,7,tirex,0.057002240533329696,0.029157170814682908,0.07948177682093316,True
bmd,Humidity,30,tirex,0.0397940268618594,0.00989670522354789,0.06567354870707329,True
bmd,Humidity,1,timesfm25,0.2987018240674184,0.26608413426285105,0.32493012697413737,True
bmd,Humidity,7,timesfm25,0.06199992597825277,0.03862539500174062,0.08313000735366002,True
bmd,Humidity,30,timesfm25,0.04873943666721414,0.02217018291667737,0.07202917986999392,True
bmd,Humidity,1,toto2,0.17861649604974994,0.13609384553172993,0.2177568415971,True
bmd,Humidity,7,toto2,-0.061060882035102626,-0.10213459236701689,-0.023893384225225148,False
bmd,Humidity,30,toto2,-0.06047108525286671,-0.10278275161893688,-0.01846518089646688,False
bmd,Humidity,1,moirai2,0.292720617060232,0.26024401251546536,0.3197659259636319,True
bmd,Humidity,7,moirai2,0.04009796356669304,0.012477773055592233,0.06380392031373186,True
bmd,Humidity,30,moirai2,0.01520443364941415,-0.016447142614089715,0.04224125351902797,False
bmd,Humidity,1,chronos_bolt,0.2890131889452261,0.25563481688414197,0.3155435822047832,True
bmd,Humidity,7,chronos_bolt,0.04894463141670091,0.023768194489452187,0.07155175307172393,True
bmd,Humidity,30,chronos_bolt,0.032830776927919136,0.005976803491903304,0.0601114274638659,True
bmd,Humidity,1,PatchTST,0.2868382477968634,0.2547379572091064,0.31183605847584805,True
bmd,Humidity,7,PatchTST,0.056542777848160974,0.037172074716381745,0.07735409600548641,True
bmd,Humidity,30,PatchTST,0.04857827893264577,0.028221055294441653,0.06886191867037084,True
bmd,Humidity,1,AutoARIMA,0.293428750796245,0.26386633595055226,0.3170599205078913,True
bmd,Humidity,7,AutoARIMA,0.04855561225772398,0.027533263769675607,0.06944033855949543,True
bmd,Humidity,30,AutoARIMA,0.025901377429118466,0.005819878708357776,0.04621082929654499,True
bmd,Humidity,1,NHITS,0.2794417021700031,0.24910060758420968,0.30498883544068095,True
bmd,Humidity,7,NHITS,0.022586695832453874,-0.0018602339683663816,0.04445703272016147,False
bmd,Humidity,30,NHITS,0.02734410778616736,0.00903005477420736,0.04708229487025224,True
bmd,Rainfall,1,chronos2,0.023100446265976626,0.0058092665504969445,0.03871276432356243,True
bmd,Rainfall,7,chronos2,-0.016975095964362197,-0.02600748590017174,-0.009137702037996428,False
bmd,Rainfall,30,chronos2,-0.011890341329197529,-0.019223509820598318,-0.005477176340330492,False
bmd,Rainfall,1,tirex,0.027466061837946754,0.00922824943574339,0.04398601604028268,True
bmd,Rainfall,7,tirex,-0.014379837618674784,-0.022901532466466028,-0.005660035470790357,False
bmd,Rainfall,30,tirex,-0.0039931070625478515,-0.01158358328847876,0.0033712671412885514,False
bmd,Rainfall,1,timesfm25,-0.008672569146018771,-0.027410755922538797,0.009417629176081493,False
bmd,Rainfall,7,timesfm25,-0.026291377388008685,-0.03691479330362489,-0.01592917278222694,False
bmd,Rainfall,30,timesfm25,-0.013069690422943703,-0.02450541673226858,-0.002382649367250973,False
bmd,Rainfall,1,toto2,0.023491219639646066,0.00333473899205228,0.04043705826447635,True
bmd,Rainfall,7,toto2,-0.01603463561717189,-0.02733637415837121,-0.006721021320411642,False
bmd,Rainfall,30,toto2,-0.010661576382175797,-0.01978032094153121,-0.0020969764277620757,False
bmd,Rainfall,1,moirai2,0.021709235563979856,0.007837230019479146,0.035667055212758855,True
bmd,Rainfall,7,moirai2,-0.019622636473088928,-0.028380143373825384,-0.011242974024166859,False
bmd,Rainfall,30,moirai2,-0.007138656250979647,-0.016079453572768014,0.0021941855629699883,False
bmd,Rainfall,1,chronos_bolt,0.011919534048158043,-0.0031547173207041425,0.026944743350769712,False
bmd,Rainfall,7,chronos_bolt,-0.026846988637332148,-0.03885242437235295,-0.016009263370517,False
bmd,Rainfall,30,chronos_bolt,-0.010058607448015122,-0.019896138208486985,-0.0013839303287959978,False
bmd,Rainfall,1,PatchTST,-0.04580384412117389,-0.08012574717955949,-0.02058357357166197,False
bmd,Rainfall,7,PatchTST,-0.08271679505678953,-0.10375750590795274,-0.06692208427280538,False
bmd,Rainfall,30,PatchTST,-0.07000496504200093,-0.09354856882360793,-0.05196140321662952,False
bmd,Rainfall,1,AutoARIMA,-0.32715380180355447,-0.47663043041691294,-0.23763460062982636,False
bmd,Rainfall,7,AutoARIMA,-0.3053834682812542,-0.4238809661007467,-0.21917570495967081,False
bmd,Rainfall,30,AutoARIMA,-0.3024920258067625,-0.4123485285673093,-0.22248033925985702,False
bmd,Rainfall,1,NHITS,0.017385917298593068,-0.0005904369742091908,0.03383317089505237,False
bmd,Rainfall,7,NHITS,-0.022131637943856086,-0.032141804510083596,-0.01435448302880071,False
bmd,Rainfall,30,NHITS,-0.029715655029887378,-0.04293088318732036,-0.019571047100103912,False
bmd,Sunshine,1,chronos2,0.17916280193577472,0.1455520401920334,0.20871352831524917,True
bmd,Sunshine,7,chronos2,0.033893846034087516,0.004478938277313391,0.05584549051417577,True
bmd,Sunshine,30,chronos2,0.04012927289351498,0.011878525380382665,0.061053273874088584,True
bmd,Sunshine,1,tirex,0.17631536045653673,0.13937882153897072,0.20988965658311498,True
bmd,Sunshine,7,tirex,0.031470417902544345,0.002206603000951191,0.0533750406926971,True
bmd,Sunshine,30,tirex,0.0333633384613361,0.004690054006698319,0.055053350549127196,True
bmd,Sunshine,1,timesfm25,0.164844738958701,0.13087432259118756,0.19566582605570085,True
bmd,Sunshine,7,timesfm25,0.022694574625656938,-0.00852804735300065,0.045016291411296365,False
bmd,Sunshine,30,timesfm25,0.026297737973955737,-0.002356063582443868,0.04900368844541596,False
bmd,Sunshine,1,toto2,0.17693228700822572,0.13996178064027667,0.2127382898837926,True
bmd,Sunshine,7,toto2,0.033587254543351985,0.003581924398002817,0.05580326538196014,True
bmd,Sunshine,30,toto2,0.03421015447279796,0.0050194451645845265,0.05698488901101764,True
bmd,Sunshine,1,moirai2,0.16134310275464658,0.12415959139976149,0.19551030434683508,True
bmd,Sunshine,7,moirai2,-0.02031300316909257,-0.06838416644802854,0.01568321551754493,False
bmd,Sunshine,30,moirai2,-0.07032375319713546,-0.12925751850110567,-0.02109277771367703,False
bmd,Sunshine,1,chronos_bolt,0.16353773949439598,0.12680503257522846,0.19578086303318687,True
bmd,Sunshine,7,chronos_bolt,0.0035588269084094737,-0.032301756292815884,0.03190673874864006,False
bmd,Sunshine,30,chronos_bolt,-0.006249727585176723,-0.05118531752732857,0.029562910383330813,False
bmd,Sunshine,1,PatchTST,0.16189924185733462,0.1293925008559157,0.19320553528720896,True
bmd,Sunshine,7,PatchTST,0.029475399933430513,0.010033648998591457,0.044007849932807444,True
bmd,Sunshine,30,PatchTST,0.018821252236061792,-0.0008007905004347448,0.03427683701001103,False
bmd,Sunshine,1,AutoARIMA,0.1448569590877602,0.11255994476610082,0.17577276011066803,True
bmd,Sunshine,7,AutoARIMA,0.007780724390952121,-0.02082395330961213,0.028568595849501267,False
bmd,Sunshine,30,AutoARIMA,0.007639154417544924,-0.017607165745159508,0.028909395875690153,False
