var,lead,model,spell,n_events,CRPSS,ci_lo,ci_hi,significant_05
Rainfall,7,chronos2,active,11,0.0017304025930173772,-0.029858532176888785,0.03356317675530412,False
Rainfall,7,chronos2,break,18,-0.047108243938101424,-0.1244456323385074,0.016418025854411548,False
Rainfall,30,chronos2,active,12,0.009469882351080594,-0.018415549070302094,0.03319692059912192,False
Rainfall,30,chronos2,break,21,-0.019314629601636435,-0.06733063405311808,0.027410484853337844,False
Rainfall,7,chronos_bolt,active,11,-0.06545254944299428,-0.08594656019491233,-0.04876432684844121,True
Rainfall,7,chronos_bolt,break,18,0.12308575611670702,0.06272160000987165,0.18218016408356813,True
Rainfall,30,chronos_bolt,active,12,-0.05838903626987424,-0.08584326600649579,-0.03778867758488455,True
Rainfall,30,chronos_bolt,break,21,0.11353621628737598,0.07307994109462279,0.15566069129449392,True
Rainfall,7,timesfm25,active,11,-0.07267531549203765,-0.09817856870644756,-0.051889153371404324,True
Rainfall,7,timesfm25,break,18,0.12416695766552588,0.06598281049699999,0.18110805030154378,True
Rainfall,30,timesfm25,active,12,-0.05378526123520877,-0.08901813292088631,-0.025514718305040915,True
Rainfall,30,timesfm25,break,21,0.13408389099226659,0.09486930906139826,0.17634179534852853,True
Rainfall,7,tirex,active,11,-0.02962014663796264,-0.06261841481193148,0.004480221621985748,False
Rainfall,7,tirex,break,18,0.025376857929745644,-0.04539303570736646,0.08778336905877783,False
Rainfall,30,tirex,active,12,-0.018034537500931647,-0.05025000865369604,0.007478135829816408,False
Rainfall,30,tirex,break,21,0.05967144673230562,0.01799092523337279,0.09970860900498876,True
Rainfall,7,PatchTST,active,11,-0.031957756922714076,-0.043610260653596675,-0.02195037820734393,True
Rainfall,7,PatchTST,break,18,-0.11324580737125767,-0.19879204083437094,-0.044516448522043915,True
Rainfall,30,PatchTST,active,12,-0.007329353610882938,-0.024848443004331866,0.008232734616062849,False
Rainfall,30,PatchTST,break,21,-0.05807425719514159,-0.09547161151673515,-0.019951562173562552,True
Rainfall,7,NHITS,active,11,0.028112027187757294,0.019865867014819762,0.036639590641323515,True
Rainfall,7,NHITS,break,18,-0.05020839785463882,-0.08234819983209485,-0.020282862369102695,True
Rainfall,30,NHITS,active,12,0.003083555914251468,-0.006241224609484059,0.010937400987108641,False
Rainfall,30,NHITS,break,21,-0.007682480837532868,-0.023707551983340968,0.008335006785407353,False
Temperature,7,chronos2,active,11,-0.3716321116010659,-0.5732576242419992,-0.13586489172393723,True
Temperature,7,chronos2,break,18,0.366053204130357,0.3059759422230615,0.4324135911790445,True
Temperature,30,chronos2,active,12,-0.5120141916730632,-0.704606535215495,-0.3421109440754293,True
Temperature,30,chronos2,break,21,0.37858902156764485,0.31889402213674695,0.42618853426446285,True
Temperature,7,chronos_bolt,active,11,-0.6405917465506967,-0.964532212881819,-0.33950629370609914,True
Temperature,7,chronos_bolt,break,18,0.4359019891254252,0.3661805355467045,0.5102812910397332,True
Temperature,30,chronos_bolt,active,12,-0.989246373689247,-1.2998999034131018,-0.7324152409421818,True
Temperature,30,chronos_bolt,break,21,0.440101346665009,0.33394862975685785,0.5179242875710519,True
Temperature,7,timesfm25,active,11,-0.4328818142888051,-0.6322647733973789,-0.2180904791955331,True
Temperature,7,timesfm25,break,18,0.40141894839729997,0.3437254845239413,0.4617899272167239,True
Temperature,30,timesfm25,active,12,-0.5927213072043724,-0.7836986384242544,-0.4304978532453503,True
Temperature,30,timesfm25,break,21,0.3847437354916077,0.3119806454639018,0.4390342859135565,True
Temperature,7,tirex,active,11,-0.42261054661292374,-0.7012418166369951,-0.17734215221029098,True
Temperature,7,tirex,break,18,0.38000424265937993,0.32307036560624386,0.44219489048088456,True
Temperature,30,tirex,active,12,-0.4392023223703805,-0.6089444279004784,-0.29942425403208595,True
Temperature,30,tirex,break,21,0.34164074275567136,0.26558499817989567,0.39880097725486213,True
Temperature,7,PatchTST,active,11,-0.19785540644890864,-0.3741207692637903,-0.034619532041050304,True
Temperature,7,PatchTST,break,18,0.2906936168139994,0.24304400523981096,0.3472736374334546,True
Temperature,30,PatchTST,active,12,-0.190618016031588,-0.3541009618534519,-0.04042621974847802,True
Temperature,30,PatchTST,break,21,0.11201839612199171,0.03059580717693148,0.18863901430816457,True
Temperature,7,NHITS,active,11,-0.2071994449119836,-0.3795451810529074,-0.03565257429547901,True
Temperature,7,NHITS,break,18,0.21462669878955654,0.12753290513601587,0.3139887080776374,True
Temperature,30,NHITS,active,12,-0.5764699599378975,-0.7942896799306572,-0.3998560022150408,True
Temperature,30,NHITS,break,21,0.21850342560055747,0.13042565562729255,0.302865261348604,True
Humidity,7,chronos2,active,11,-0.14456227349015394,-0.2624137821413796,-0.0397738197174514,True
Humidity,7,chronos2,break,18,0.19080487952035385,0.12098505819927906,0.25233435052858966,True
Humidity,30,chronos2,active,12,-0.15089500727330085,-0.2702905482228499,-0.05334237207595358,True
Humidity,30,chronos2,break,21,0.1986452817066351,0.1438812440960573,0.2437211223672545,True
Humidity,7,chronos_bolt,active,11,-0.2198060651370246,-0.34485794138916176,-0.1104975237720918,True
Humidity,7,chronos_bolt,break,18,0.21469232586034626,0.13863420972628496,0.2799118622173751,True
Humidity,30,chronos_bolt,active,12,-0.2555321038650149,-0.38609846034739215,-0.1498759607997511,True
Humidity,30,chronos_bolt,break,21,0.22037640144658321,0.15791595590670324,0.2713848498502465,True
Humidity,7,timesfm25,active,11,-0.16080453341522305,-0.29114096418163243,-0.04042938212528876,True
Humidity,7,timesfm25,break,18,0.23493751051955591,0.17079289170068607,0.288790151603914,True
Humidity,30,timesfm25,active,12,-0.18704436367469834,-0.3175625356363591,-0.07698407208427803,True
