id,cc,name,lat,lon,gsn,prcp_pct,tavg_pct
BOM00033038,BO,VASILEVICI,52.25,29.8331,GSN,14.0,83.1
CHM00050527,CH,HAILAR,49.25,119.7,GSN,34.6,55.0
CHM00050745,CH,QIQIHAR,47.383,123.917,GSN,66.0,99.2
CHM00051076,CH,ALTAY,47.733,88.083,GSN,63.2,99.1
CHM00051463,CH,WU LU MU QI,43.8,87.65,GSN,61.5,99.1
CHM00051709,CH,KASHI,39.467,75.983,GSN,60.2,99.9
CHM00051828,CH,HOTAN,37.133,79.933,GSN,58.6,99.1
KNM00047014,KN,CHUNGGANG,41.783,126.883,GSN,12.1,99.9
NLM00006260,NL,DE BILT,52.0989,5.1794,GSN,100.0,99.9
ROM00015085,RO,BISTRITA,47.15,24.5,GSN,97.7,99.9
ROM00015280,RO,VARFU OMUL,45.45,25.45,GSN,99.9,99.9
ROM00015360,RO,SULINA,45.1667,29.7331,GSN,100.0,99.9
RSM00025927,RS,BROHOVO,59.65,154.27,GSN,95.1,99.7
RSM00026063,RS,ST. PETERSBURG,59.9667,30.3,GSN,99.3,99.9
RSM00026359,RS,PUSKINSKIE_GORY,57.0,28.9,GSN,99.1,99.8
RSM00026781,RS,SMOLENSK,54.75,32.0667,GSN,55.7,32.0
RSM00026997,RS,TRUBCEVSK,52.6,33.7997,GSN,99.5,99.8
RSM00027037,RS,VOLOGDA,59.3167,39.9167,GSN,90.7,99.8
UPM00033317,UP,SHEPETIVKA,50.17,27.05,GSN,61.1,97.3
UPM00033377,UP,LUBNY,50.02,33.0,GSN,58.4,97.3
UPM00033587,UP,UMAN,48.77,30.23,GSN,56.8,97.3
UZM00038413,UZ,TAMDY,41.7331,64.6167,GSN,0.2,99.6
UZM00038457,UZ,TASHKENT,41.27,69.2694,GSN,13.5,99.8
AGM00060351,AG,JIJEL,36.795,5.874,,99.3,99.9
AGM00060355,AG,SKIKDA,36.933,6.95,,98.5,99.2
AGM00060360,AG,ANNABA,36.822,7.809,,98.0,99.9
AGM00060402,AG,SOUMMAM,36.712,5.07,,98.6,99.9
AGM00060419,AG,MOHAMED BOUDIAF INTL,36.276,6.62,,42.6,99.9
AGM00060425,AG,ECH CHELIFF,36.213,1.332,,98.6,99.6
AUM00011155,AU,FEUERKOGEL,47.817,13.717,,37.9,99.9
AUM00011231,AU,KLAGENFURT(CIV/MIL),46.65,14.333,,22.4,99.9
BOM00026554,BO,VERHNEDVINSK,55.817,27.95,,15.0,74.1
BOM00026643,BO,SHARCOVSCHINA,55.367,27.467,,19.5,79.8
BOM00026645,BO,LYNTUPY,55.05,26.317,,20.0,74.9
BOM00026653,BO,POLOTSK,55.467,28.767,,24.5,77.6
BOM00026657,BO,DOKSHITSY,54.883,27.75,,14.6,51.6
BUM00015502,BU,VIDIN,43.983,22.85,,99.3,99.8
BUM00015552,BU,VARNA,43.232,27.825,,99.3,99.9
BUM00015614,BU,SOFIA,42.695,23.406,,99.2,99.9
BUM00015730,BU,KURDJALI,41.65,25.383,,99.0,99.8
DAM00006030,DA,FLYVESTATION AALBORG,57.093,9.849,,93.3,99.9
EIM00003955,EI,CORK,51.841,-8.491,,33.2,99.9
EIM00003962,EI,SHANNON,52.702,-8.925,,93.9,99.9
EIM00003976,EI,BELMULLET,54.233,-10.0,,93.5,99.9
EZM00011406,EZ,CHEB,50.067,12.383,,98.0,99.9
EZM00011423,EZ,PRIMDA,49.667,12.683,,93.9,99.9
EZM00011487,EZ,KOCELOVICE,49.467,13.833,,95.9,99.9
EZM00011518,EZ,RUZYNE,50.101,14.26,,97.2,99.9
EZM00011520,EZ,PRAHA-LIBUS,50.0,14.45,,98.4,99.9
EZM00011603,EZ,LIBEREC,50.767,15.017,,97.1,99.9
FRM00007005,FR,ABBEVILLE,50.143,1.832,,98.8,99.5
FRM00007015,FR,LESQUIN,50.562,3.089,,99.1,99.8
FRM00007027,FR,CARPIQUET,49.173,-0.45,,99.3,99.8
