id,cc,name,lat,lon,gsn,prcp_pct,tavg_pct
NLM00006260,NL,DE BILT,52.0989,5.1794,GSN,100.0,99.9
ROM00015360,RO,SULINA,45.1667,29.7331,GSN,100.0,99.9
ROM00015280,RO,VARFU OMUL,45.45,25.45,GSN,99.9,99.9
RSM00026997,RS,TRUBCEVSK,52.6,33.7997,GSN,99.5,99.8
RSM00026063,RS,ST. PETERSBURG,59.9667,30.3,GSN,99.3,99.9
RSM00026359,RS,PUSKINSKIE_GORY,57.0,28.9,GSN,99.1,99.8
ROM00015085,RO,BISTRITA,47.15,24.5,GSN,97.7,99.9
RSM00025927,RS,BROHOVO,59.65,154.27,GSN,95.1,99.7
RSM00027037,RS,VOLOGDA,59.3167,39.9167,GSN,90.7,99.8
GMM00010870,GM,SCHWAIGERMOOS,48.3667,11.8,,99.9,99.9
BUM00015502,BU,VIDIN,43.983,22.85,,99.3,99.8
BUM00015552,BU,VARNA,43.232,27.825,,99.3,99.9
FRM00007027,FR,CARPIQUET,49.173,-0.45,,99.3,99.8
FRM00007110,FR,GUIPAVAS,48.448,-4.419,,99.3,99.8
BUM00015614,BU,SOFIA,42.695,23.406,,99.2,99.9
GRM00016622,GR,MAKEDONIA,40.52,22.971,,99.2,99.9
FRM00007015,FR,LESQUIN,50.562,3.089,,99.1,99.8
BUM00015730,BU,KURDJALI,41.65,25.383,,99.0,99.8
FRM00007037,FR,VALLEE DE SEINE,49.384,1.175,,99.0,99.8
FRM00007005,FR,ABBEVILLE,50.143,1.832,,98.8,99.5
EZM00011520,EZ,PRAHA-LIBUS,50.0,14.45,,98.4,99.9
LOM00011826,LO,PIESTANY,48.617,17.833,,98.3,99.9
EZM00011406,EZ,CHEB,50.067,12.383,,98.0,99.9
EZM00011518,EZ,RUZYNE,50.101,14.26,,97.2,99.9
EZM00011603,EZ,LIBEREC,50.767,15.017,,97.1,99.9
ITM00016061,IT,TORINO/BRIC CROCE,45.033,7.733,,96.4,99.6
EZM00011487,EZ,KOCELOVICE,49.467,13.833,,95.9,99.9
GIM00008495,GI,GIBRALTAR,36.151,-5.35,,95.0,99.8
EIM00003962,EI,SHANNON,52.702,-8.925,,93.9,99.9
EIM00003976,EI,BELMULLET,54.233,-10.0,,93.5,99.9
DAM00006030,DA,FLYVESTATION AALBORG,57.093,9.849,,93.3,99.9
HUM00012772,HU,MISKOLC,48.083,20.767,,90.0,99.9
