track,var,id,n_origins,C0 none,C1 last365>=90%,C2 last512 complete,C3 last1024>=90%,C4 last2048>=90%
bmd,Rainfall,Ambaganctg,414,414,414,359,414,414
bmd,Rainfall,Barisal,414,409,409,336,409,409
bmd,Rainfall,Bhola,414,414,414,414,414,414
bmd,Rainfall,Bogra,414,414,414,414,414,414
bmd,Rainfall,Chandpur,414,414,414,414,414,414
bmd,Rainfall,Chittagong,414,414,414,414,414,414
bmd,Rainfall,Chuadanga,414,414,414,414,414,414
bmd,Rainfall,Comilla,414,414,414,414,414,414
bmd,Rainfall,Coxsbazar,414,409,409,336,409,409
bmd,Rainfall,Dhaka,414,414,414,414,414,414
bmd,Rainfall,Dinajpur,414,414,414,414,414,414
bmd,Rainfall,Faridpur,414,395,395,148,395,395
bmd,Rainfall,Feni,414,414,414,414,414,414
bmd,Rainfall,Hatiya,414,409,409,336,409,409
bmd,Rainfall,Ishurdi,414,414,414,414,414,414
bmd,Rainfall,Jessore,414,414,414,414,414,414
bmd,Rainfall,Khepupara,414,414,414,414,414,414
bmd,Rainfall,Khulna,414,400,400,188,400,400
bmd,Rainfall,Kutubdia,414,414,414,353,414,414
bmd,Rainfall,Madaripur,414,414,414,414,414,414
bmd,Rainfall,Mcourt,414,409,409,389,409,409
bmd,Rainfall,Mongla,414,404,404,258,404,404
bmd,Rainfall,Mymensingh,414,414,414,414,414,414
bmd,Rainfall,Patuakhali,414,414,414,414,414,414
bmd,Rainfall,Rajshahi,414,414,414,358,414,414
bmd,Rainfall,Rangamati,414,409,409,336,409,409
bmd,Rainfall,Rangpur,414,414,414,414,414,414
bmd,Rainfall,Sandwip,414,414,414,414,414,414
bmd,Rainfall,Satkhira,414,414,414,414,414,414
bmd,Rainfall,Sitakunda,414,414,414,414,414,414
bmd,Rainfall,Srimangal,414,409,409,336,409,409
bmd,Rainfall,Sydpur,414,414,414,414,414,414
bmd,Rainfall,Sylhet,414,414,414,414,414,414
bmd,Rainfall,Tangail,414,409,409,335,409,409
bmd,Rainfall,Teknaf,414,414,414,414,414,414
bmd,Temperature,Ambaganctg,414,389,389,127,389,389
bmd,Temperature,Barisal,414,399,399,243,399,399
bmd,Temperature,Bhola,414,404,404,267,404,404
bmd,Temperature,Bogra,414,399,399,136,399,399
bmd,Temperature,Chandpur,414,381,381,78,381,381
bmd,Temperature,Chittagong,414,399,399,244,399,399
bmd,Temperature,Chuadanga,414,382,382,30,382,382
bmd,Temperature,Comilla,414,375,375,9,375,375
bmd,Temperature,Coxsbazar,414,355,355,7,355,355
bmd,Temperature,Dhaka,414,399,399,218,399,399
bmd,Temperature,Dinajpur,414,379,379,129,379,379
bmd,Temperature,Faridpur,414,374,374,38,374,374
bmd,Temperature,Feni,414,402,402,334,402,402
bmd,Temperature,Hatiya,414,383,383,45,383,383
bmd,Temperature,Ishurdi,414,389,389,52,389,389
bmd,Temperature,Jessore,414,394,394,180,394,394
bmd,Temperature,Khepupara,414,354,354,22,354,354
bmd,Temperature,Khulna,414,384,384,126,384,384
bmd,Temperature,Kutubdia,414,389,389,166,389,389
bmd,Temperature,Madaripur,414,387,387,140,387,387
bmd,Temperature,Mcourt,414,356,312,49,356,356
bmd,Temperature,Mongla,414,381,379,97,381,381
bmd,Temperature,Mymensingh,414,396,396,274,396,396
bmd,Temperature,Patuakhali,414,364,364,7,364,364
bmd,Temperature,Rajshahi,414,384,384,115,384,384
bmd,Temperature,Rangamati,414,405,405,247,405,405
bmd,Temperature,Rangpur,414,388,388,225,388,388
bmd,Temperature,Sandwip,414,394,394,215,394,394
bmd,Temperature,Satkhira,414,380,380,67,380,380
bmd,Temperature,Sitakunda,414,356,356,25,356,356
bmd,Temperature,Srimangal,414,400,400,136,400,400
bmd,Temperature,Sydpur,414,394,394,210,394,394
bmd,Temperature,Sylhet,414,400,400,213,400,400
bmd,Temperature,Tangail,414,384,384,149,384,384
bmd,Temperature,Teknaf,414,362,362,51,362,362
bmd,Humidity,Ambaganctg,414,318,308,0,318,318
bmd,Humidity,Barisal,414,310,303,0,310,310
bmd,Humidity,Bhola,414,316,305,10,316,316
bmd,Humidity,Bogra,414,373,373,27,373,373
bmd,Humidity,Chandpur,414,327,327,0,327,327
bmd,Humidity,Chittagong,414,309,309,24,309,309
bmd,Humidity,Chuadanga,414,342,342,0,342,342
bmd,Humidity,Comilla,414,347,347,22,347,347
bmd,Humidity,Coxsbazar,414,321,321,16,321,321
